3315136 [http-bio-8080-exec-9] INFO  c.a.d.service.impl.DrawServiceImpl - <<===========当前环节未开始！
3360476 [http-bio-8080-exec-5] INFO  c.a.d.service.impl.DrawServiceImpl - <<===========当前环节未开始！
3370991 [http-bio-8080-exec-5] INFO  c.a.d.service.impl.LinkServiceImpl - <<========尝试启动新的抽奖环节...
3370991 [http-bio-8080-exec-5] INFO  c.a.d.service.impl.LinkServiceImpl - <<=============当前环节状态：{}INIT
3370992 [http-bio-8080-exec-5] INFO  c.a.d.service.impl.LinkServiceImpl - <<==========把当前环节的状态设置为：{}RUN
3371006 [http-bio-8080-exec-5] INFO  c.a.d.service.impl.LinkServiceImpl - 完成新的环节启动，启动时间：{}Mon Jan 11 00:02:08 CST 2016
3378267 [http-bio-8080-exec-5] INFO  c.a.draw.cache.ParticipantCache - 根据key: 1，获取到参与人员信息 value: Participant [participantId=1, participantName=叶春林, participantNum=1]
3394532 [http-bio-8080-exec-2] INFO  c.a.draw.cache.ParticipantCache - 根据key: 1，获取到参与人员信息 value: Participant [participantId=1, participantName=叶春林, participantNum=1]
3395930 [http-bio-8080-exec-9] INFO  c.a.draw.cache.ParticipantCache - 根据key: 1，获取到参与人员信息 value: Participant [participantId=1, participantName=叶春林, participantNum=1]
3397073 [http-bio-8080-exec-9] INFO  c.a.draw.cache.ParticipantCache - 根据key: 1，获取到参与人员信息 value: Participant [participantId=1, participantName=叶春林, participantNum=1]
3398545 [http-bio-8080-exec-9] INFO  c.a.draw.cache.ParticipantCache - 根据key: 1，获取到参与人员信息 value: Participant [participantId=1, participantName=叶春林, participantNum=1]
3399133 [http-bio-8080-exec-9] INFO  c.a.draw.cache.ParticipantCache - 根据key: 1，获取到参与人员信息 value: Participant [participantId=1, participantName=叶春林, participantNum=1]
3399593 [http-bio-8080-exec-9] INFO  c.a.draw.cache.ParticipantCache - 根据key: 1，获取到参与人员信息 value: Participant [participantId=1, participantName=叶春林, participantNum=1]
3399842 [http-bio-8080-exec-9] INFO  c.a.draw.cache.ParticipantCache - 根据key: 1，获取到参与人员信息 value: Participant [participantId=1, participantName=叶春林, participantNum=1]
3400024 [http-bio-8080-exec-9] INFO  c.a.draw.cache.ParticipantCache - 根据key: 1，获取到参与人员信息 value: Participant [participantId=1, participantName=叶春林, participantNum=1]
3400207 [http-bio-8080-exec-9] INFO  c.a.draw.cache.ParticipantCache - 根据key: 1，获取到参与人员信息 value: Participant [participantId=1, participantName=叶春林, participantNum=1]
3400382 [http-bio-8080-exec-9] INFO  c.a.draw.cache.ParticipantCache - 根据key: 1，获取到参与人员信息 value: Participant [participantId=1, participantName=叶春林, participantNum=1]
3400719 [http-bio-8080-exec-9] INFO  c.a.draw.cache.ParticipantCache - 根据key: 1，获取到参与人员信息 value: Participant [participantId=1, participantName=叶春林, participantNum=1]
3400902 [http-bio-8080-exec-9] INFO  c.a.draw.cache.ParticipantCache - 根据key: 1，获取到参与人员信息 value: Participant [participantId=1, participantName=叶春林, participantNum=1]
3401125 [http-bio-8080-exec-9] INFO  c.a.draw.cache.ParticipantCache - 根据key: 1，获取到参与人员信息 value: Participant [participantId=1, participantName=叶春林, participantNum=1]
3401302 [http-bio-8080-exec-9] INFO  c.a.draw.cache.ParticipantCache - 根据key: 1，获取到参与人员信息 value: Participant [participantId=1, participantName=叶春林, participantNum=1]
3407170 [http-bio-8080-exec-9] INFO  c.a.draw.cache.ParticipantCache - 根据key: 1，获取到参与人员信息 value: Participant [participantId=1, participantName=叶春林, participantNum=1]
3410674 [http-bio-8080-exec-9] INFO  c.a.draw.cache.ParticipantCache - 根据key: 1，获取到参与人员信息 value: Participant [participantId=1, participantName=叶春林, participantNum=1]
3411137 [http-bio-8080-exec-9] INFO  c.a.draw.cache.ParticipantCache - 根据key: 1，获取到参与人员信息 value: Participant [participantId=1, participantName=叶春林, participantNum=1]
3411556 [http-bio-8080-exec-9] INFO  c.a.draw.cache.ParticipantCache - 根据key: 1，获取到参与人员信息 value: Participant [participantId=1, participantName=叶春林, participantNum=1]
3412027 [http-bio-8080-exec-9] INFO  c.a.draw.cache.ParticipantCache - 根据key: 1，获取到参与人员信息 value: Participant [participantId=1, participantName=叶春林, participantNum=1]
3412575 [http-bio-8080-exec-9] INFO  c.a.draw.cache.ParticipantCache - 根据key: 1，获取到参与人员信息 value: Participant [participantId=1, participantName=叶春林, participantNum=1]
3413081 [http-bio-8080-exec-9] INFO  c.a.draw.cache.ParticipantCache - 根据key: 1，获取到参与人员信息 value: Participant [participantId=1, participantName=叶春林, participantNum=1]
3413583 [http-bio-8080-exec-9] INFO  c.a.draw.cache.ParticipantCache - 根据key: 1，获取到参与人员信息 value: Participant [participantId=1, participantName=叶春林, participantNum=1]
3414132 [http-bio-8080-exec-9] INFO  c.a.draw.cache.ParticipantCache - 根据key: 1，获取到参与人员信息 value: Participant [participantId=1, participantName=叶春林, participantNum=1]
3414634 [http-bio-8080-exec-9] INFO  c.a.draw.cache.ParticipantCache - 根据key: 1，获取到参与人员信息 value: Participant [participantId=1, participantName=叶春林, participantNum=1]
3415185 [http-bio-8080-exec-9] INFO  c.a.draw.cache.ParticipantCache - 根据key: 1，获取到参与人员信息 value: Participant [participantId=1, participantName=叶春林, participantNum=1]
3415682 [http-bio-8080-exec-9] INFO  c.a.draw.cache.ParticipantCache - 根据key: 1，获取到参与人员信息 value: Participant [participantId=1, participantName=叶春林, participantNum=1]
3415682 [http-bio-8080-exec-9] INFO  c.a.d.service.impl.LinkServiceImpl - <<===========当前环节：第一轮抽奖开始结束...
3415683 [http-bio-8080-exec-9] INFO  c.a.d.service.impl.LinkServiceImpl - <<===========设置当前环节的状态为：FINISH
3415688 [http-bio-8080-exec-9] INFO  c.a.d.service.impl.LinkServiceImpl - <<==下一环节：DrawLink [linkId=1, linkName=第一轮抽奖, openState=1, linkOrder=1, linkState=1]
3415689 [http-bio-8080-exec-9] INFO  c.a.d.service.impl.LinkServiceImpl - <<===========开始新的环节：第一轮抽奖
3415689 [http-bio-8080-exec-9] INFO  c.a.d.service.impl.LinkServiceImpl - <<===========把当前环节加入缓存中...
3415695 [http-bio-8080-exec-9] INFO  c.a.d.service.impl.LinkServiceImpl - <<===========查询到当前环节的奖品：[DrawPrize [prizeId=1, prizeType=一等奖, prizeName=10000元红包, linkId=1, size=3, provider=X战警, providerPosition=BOSS]]
3415696 [http-bio-8080-exec-9] INFO  c.a.d.service.impl.LinkServiceImpl - <<===========把当前环节剩余的奖品放入缓存中
3415702 [http-bio-8080-exec-9] INFO  c.a.d.service.impl.LinkServiceImpl - <<===========查询到当前环节的参与人员：[Participant [participantId=1, participantName=叶春林, participantNum=1], Participant [participantId=2, participantName=魏波, participantNum=2], Participant [participantId=3, participantName=赵林刚, participantNum=3]]
3415703 [http-bio-8080-exec-9] INFO  c.a.d.service.impl.LinkServiceImpl - <<===========把当前环节参与人员放入缓存中
3415703 [http-bio-8080-exec-9] INFO  c.a.d.service.impl.LinkServiceImpl - <<===========初始化当前环节已中奖人员...
3415703 [http-bio-8080-exec-9] INFO  c.a.d.service.impl.LinkServiceImpl - <<===========创建当前环节的奖品池...
3415703 [http-bio-8080-exec-9] INFO  c.a.d.service.impl.LinkServiceImpl - <<===========当今环节参与人数：3...
3415703 [http-bio-8080-exec-9] INFO  c.a.d.util.DefaultPrizePoolFactory - <<==参与人员：3
3415704 [http-bio-8080-exec-9] INFO  c.a.d.util.DefaultPrizePoolFactory - <<==奖品数量：1
3415704 [http-bio-8080-exec-9] INFO  c.a.d.util.DefaultPrizePoolFactory - <<==产生的奖品池数量：1
3415704 [http-bio-8080-exec-9] INFO  c.a.d.util.DefaultPrizePoolFactory - <<==每个奖池的总的奖品数量（包括空奖品）：60
3415704 [http-bio-8080-exec-9] INFO  c.a.d.util.DefaultPrizePoolFactory - <<==奖池DefaultPrizePool--845526266真实的奖品数量为：1
3415704 [http-bio-8080-exec-9] INFO  c.a.d.service.impl.LinkServiceImpl - <<===========把奖品池加入缓存中...
3415704 [http-bio-8080-exec-9] INFO  c.a.d.service.impl.LinkServiceImpl - <<===========初始化环节状态为：INIT...
3415705 [http-bio-8080-exec-9] INFO  c.a.draw.cache.ParticipantCache - 写入缓存，participantNum: 1, linkId: DrawPrize [prizeId=1, prizeType=一等奖, prizeName=10000元红包, linkId=1, size=3, provider=X战警, providerPosition=BOSS]
6693365 [http-bio-8080-exec-8] INFO  c.a.d.service.impl.DrawServiceImpl - <<===========当前环节未开始！
6695745 [http-bio-8080-exec-8] INFO  c.a.d.service.impl.DrawServiceImpl - <<===========当前环节未开始！
6696523 [http-bio-8080-exec-8] INFO  c.a.d.service.impl.DrawServiceImpl - <<===========当前环节未开始！
6696717 [http-bio-8080-exec-8] INFO  c.a.d.service.impl.DrawServiceImpl - <<===========当前环节未开始！
6696882 [http-bio-8080-exec-8] INFO  c.a.d.service.impl.DrawServiceImpl - <<===========当前环节未开始！
6697047 [http-bio-8080-exec-8] INFO  c.a.d.service.impl.DrawServiceImpl - <<===========当前环节未开始！
6697216 [http-bio-8080-exec-8] INFO  c.a.d.service.impl.DrawServiceImpl - <<===========当前环节未开始！
6697383 [http-bio-8080-exec-7] INFO  c.a.d.service.impl.DrawServiceImpl - <<===========当前环节未开始！
6697556 [http-bio-8080-exec-7] INFO  c.a.d.service.impl.DrawServiceImpl - <<===========当前环节未开始！
6716273 [http-bio-8080-exec-7] INFO  c.a.d.service.impl.DrawServiceImpl - <<===========当前环节未开始！
275  [localhost-startStop-1] INFO  o.s.web.context.ContextLoader - Root WebApplicationContext: initialization started
408  [localhost-startStop-1] INFO  o.s.w.c.s.XmlWebApplicationContext - Refreshing Root WebApplicationContext: startup date [Mon Jan 11 01:00:44 CST 2016]; root of context hierarchy
466  [localhost-startStop-1] INFO  o.s.b.f.xml.XmlBeanDefinitionReader - Loading XML bean definitions from ServletContext resource [/WEB-INF/spring/root-context.xml]
1138 [localhost-startStop-1] INFO  o.s.c.s.PropertySourcesPlaceholderConfigurer - Loading properties file from class path resource [jdbc.properties]
1155 [localhost-startStop-1] INFO  o.s.b.f.a.AutowiredAnnotationBeanPostProcessor - JSR-330 'javax.inject.Inject' annotation found and supported for autowiring
2385 [localhost-startStop-1] INFO  c.a.draw.cache.ParticipantCache - <<==============开始初始化参与人员信息
2386 [localhost-startStop-1] INFO  c.a.draw.cache.ParticipantCache - <<==============查询数据库中信息
3249 [localhost-startStop-1] INFO  c.a.draw.cache.ParticipantCache - 写入缓存，key: 1, value: Participant [participantId=1, participantName=叶春林, participantNum=1]
3260 [localhost-startStop-1] INFO  c.a.draw.cache.ParticipantCache - 写入缓存，key: 2, value: Participant [participantId=2, participantName=魏波, participantNum=2]
3261 [localhost-startStop-1] INFO  c.a.draw.cache.ParticipantCache - 写入缓存，key: 3, value: Participant [participantId=3, participantName=赵林刚, participantNum=3]
3261 [localhost-startStop-1] INFO  c.a.draw.cache.ParticipantCache - 写入缓存，key: 4, value: Participant [participantId=4, participantName=汪小峰, participantNum=4]
3261 [localhost-startStop-1] INFO  c.a.draw.cache.ParticipantCache - <<==============参与人员信息加载完毕
3353 [localhost-startStop-1] INFO  c.a.d.service.impl.LinkServiceImpl - <<==下一环节：DrawLink [linkId=1, linkName=第一轮抽奖, openState=1, linkOrder=1, linkState=1]
3353 [localhost-startStop-1] INFO  c.a.d.service.impl.LinkServiceImpl - <<===========开始新的环节：第一轮抽奖
3353 [localhost-startStop-1] INFO  c.a.d.service.impl.LinkServiceImpl - <<===========把当前环节加入缓存中...
3376 [localhost-startStop-1] INFO  c.a.d.service.impl.LinkServiceImpl - <<===========查询到当前环节的奖品：[DrawPrize [prizeId=1, prizeType=一等奖, prizeName=10000元红包, linkId=1, size=3, provider=X战警, providerPosition=BOSS]]
3376 [localhost-startStop-1] INFO  c.a.d.service.impl.LinkServiceImpl - <<===========把当前环节剩余的奖品放入缓存中
3381 [localhost-startStop-1] INFO  c.a.d.service.impl.LinkServiceImpl - <<===========查询到当前环节的参与人员：[Participant [participantId=1, participantName=叶春林, participantNum=1], Participant [participantId=2, participantName=魏波, participantNum=2], Participant [participantId=3, participantName=赵林刚, participantNum=3]]
3381 [localhost-startStop-1] INFO  c.a.d.service.impl.LinkServiceImpl - <<===========把当前环节参与人员放入缓存中
3382 [localhost-startStop-1] INFO  c.a.d.service.impl.LinkServiceImpl - <<===========初始化当前环节已中奖人员...
